wavelength,Cycle_1_0,Cycle_2_0,Cycle_3_0,Cycle_4_0,Cycle_5_0,Cycle_6_0,,Peak Spectroscopy,,,
324.17,11940.2402,14664.4184,8042.4562,14343.0309,2439.0077,1771.0791,,,,,
324.171,13089.6393,15057.7207,8307.6961,12132.2316,2448.453,2018.5008,,,,,
324.172,12467.6362,14094.0659,9600.1921,12749.8164,2777.4908,2245.5091,,,,,
324.173,12981.0644,13450.2491,8891.518,12801.6525,2175.0763,1978.9779,,,,,
324.174,13446.394,14941.9163,9772.1454,11286.3503,2592.1909,2497.2757,,,,,
324.175,14323.5698,14288.6443,9480.3896,10708.6712,2371.0823,2680.0845,,,,,
324.176,14623.9933,13961.4006,10707.4458,10572.5026,2444.2841,2601.1435,,,,,
324.177,13582.162,14972.8542,10873.9953,10922.6857,2210.8267,3032.0768,,,,,
324.178,16068.4192,12862.0014,10127.8995,10587.9096,2472.8223,2996.0748,,,,,
324.179,15925.8987,14864.2812,10212.5497,9836.5623,2246.0585,2978.0851,,,,,
324.18,16629.9534,14395.2501,10183.2265,8689.4178,2075.5029,2979.8333,,,,,
324.181,17220.9518,14519.5449,9652.232,9179.07,2682.3331,3386.9522,,,,,
324.182,16916.5466,13225.9935,11384.9101,8962.2699,2009.5901,3583.18,,,,,
324.183,16531.0539,15079.8017,12119.5415,9270.2086,1880.8003,3623.6119,,,,,
324.184,16560.4716,15426.4565,10165.1891,8610.7673,2391.1471,3725.4649,,,,,
324.185,17683.7964,15630.2991,11776.3603,8957.8805,2320.0858,4168.71,,,,,
324.186,18394.7406,15322.3536,10995.1999,9219.2128,1963.1499,4211.3441,,,,,
324.187,19815.0359,14167.1293,11730.0003,8945.3611,2229.484,5447.2099,,,,,
324.188,19388.7832,14695.0889,10644.6557,9155.312,2185.2189,5205.9253,,,,,
324.189,17515.715,16163.3497,10867.9049,8745.6865,2163.3892,5294.7341,,,,,
324.19,19194.7679,13156.0996,9832.3342,9157.5492,1949.8114,6204.7156,,,,,
